business_trading_name,category,suburb,state,post_code,phone_number,email,ABN,logo,first_name,last_name
Urban Rugs,Rugs,Hampton North,VIC,3188, ,info@urbanrugs.com.au,11104088486,, ,
Urban Turf Pty Ltd,Lawn Mowing,Braeside,VIC,3195,0402 260 264,info@urbanturf.com.au,60144540410,, ,
Veeve,Electricians,Moorabin,VIC,3189, ,info@veeve.com.au,48965728611,, ,
Wet Trades Pty Ltd,Rendering,HIGHETT,VIC,3190, ,info@wettrades.com,97135865173,, ,
Wohah Productions,Televisions,Cheltenham,VIC,3192, ,info@woohah.com.au,29132239680,,Arosh,Fernando
Advanced Roof Care,Roof Repairs,Cheltenham,VIC,3192,0416 424 345,infoarc@dodo.com.au,76657938834,, ,
Inspect East Building Inspections Melbourne,Inspections - Pest,Elsternwick,VIC,3185, ,inspecteastau@gmail.com,85201015935,,Brett,White
Inspiration Painting and Coating,Painters,Parkdale,VIC,3195,0409 825 725,inspiration.coating@gmail.com,16230324590,, ,
Instyle bathrooms,Bathroom,Cheltenham,VIC,3192,0417 132 179,instyle11@optusnet.com.au,39674524309,,Steven,Thomas
intoUCH Building & Maintenance service,Handyman,Mentone,VIC,3194,0417 332 149,intouchbams@gmail.com,36718830702,, ,
Hydro Pressure Blasting,Pressure Cleaning,Aspendale,VIC,3195,0417 179 593,is979758@bigpond.net.au,93865576799,, ,
Izabela Cleaning services,Home Cleaners,Brighton,VIC,3186,0423 347 018,iskafolt@gmail.com,60323107523,,Izabela,Foltynowicz
Indulogy Development,Bamboo Flooring,Brighton East,VIC,3187, ,ithamar1976@gmail.com,82918641131,, ,
Xtreme Seal,Waterproofing,Cheltenham,VIC,3192,0439 099 912,ivan.sales@xtremeseal.com.au,33249401042,, ,
James Carpentry service,Carpenters,Sandringham,VIC,3191,0451 125 801,ja.allen1997@gmail.com,71773522011,, ,
JRP Landscapes,Landscaping & Gardening,Cheltenham,VIC,3192,0430 656 286,jack@jrplandscapes.com.au,60416152509,,Jack,Pollard
The Sorrento Stylist,Interior Designer,Highett,VIC,3190,0487 177 725,jackieg@thesorrentostylist.com.au,29739680394,, ,
Armstrongs Cabinetry,Kitchen,Cheltenham,VIC,3192,0414 887 592,jacqui@armstrongs.com.au,14160617158,,Jacqui,Dowling
Melbourne Painting & Repairs,Handyman,Parkdale,VIC,3195,0416 770 674,jake@melbpr.com.au,65482953432,,Jake,Ghahremani
JM Carpentry And Cladding,Timber Flooring,Hyigett,VIC,3190,0467 488 259,jakemurff@hotmail.com,25654427336,, ,
Boutique Building & Carpentry,Building,Brighton East,VIC,3187,0401 536 382,james@boutiquebc.com.au,13071184654,, ,
CloudCon,Carpenters,Cheltenham,VIC,3192,0401 352 002,james@cloudconstructions.com.au,90108041825,, ,
JC Southern Carpentry,Handyman,Parkdale,VIC,3195,0407 596 305,james@jcsoutherncarpentry.com.au,47381090677,,James,
Kjm Dark Bricklaying,Bricklaying,Cheltenham,VIC,3192,0419 135 018,jamesdark550@gmail.com,19503746805,, ,
JRC BRICK & BLOCK LAYING PTY LTD,Handyman,Sandringham,VIC,3191,0409 542 446,jamesrc@outlook.com.au,11493636079,,James,Connelly
Engineered Demolition Pty Ltd,Demolition,ASPENDALE,VIC,3195,0408 997 935,jamesstewartmunroeclark@gmail.com,64633376388,, ,
Dwell Developments Pty Ltd,Building,Moorabbin,VIC,3189,0432 143 407,jamie@dwelldev.com.au,16143026322,, ,
JHJ Constructions,Carpenters,HAMPTON EAST,VIC,3188,0438 713 490,jamie@jhjconstructions.com.au,94163073416,,Jamie,Charlton
Tor Electrical,Electricians,ASPENDALE,VIC,3195,0420 535 527,jamie@torelectrical.com.au,86881515803,,jamie,holmes
Cheap Prompt Perfect,Carpet Repair & Laying,Hampton,VIC,3188,0424 616 583,jarmanbill@yahoo.com,46204193897,,Bill,Jarman
Zamp interiors,Cabinet Making,Cheltenham,VIC,3192,0414 762 020,jason.zampaglione@gmail.com,73151469715,, ,
No-Bull Cleaning Specialist,Cleaning,Mordialloc,VIC,3195,0410 737 667,jasonhatton18@yahoo.com.au,42067092670,, ,
JD Cleaning services,Carpet & Upholstery Cleaning,Hampton East,VIC,3188,0468 450 460,jatinpatel3910@gmail.com,45566830106,, ,
